연번,호선,역  명,관리번호(호기),(근접)출입구번호,시작층(상세위치),시작층(지상_지하),시작층(운행역층),종료층(지상_지하),종료층(운행역층),정원(인원수),정원(중량),승강기 일련번호,데이터 기준일자
242,3호선,잠원,외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0033-320,2025-03-10
243,3호선,고속터미널(3),내부#1,내부,잠원 방면8-2,지하,3,지하,2,15,1000,0033-322,2025-03-10
244,3호선,고속터미널(3),내부#2,내부,교대 방면3-3,지하,3,지하,2,15,1000,0033-323,2025-03-10
245,3호선,교대(3),외부#1,13번출구,13번 출구 측,지하,1,지상,1,13,1000,0151-807,2025-03-10
246,3호선,교대(3),내부#1,내부,"고속터미널 방면4-2, 남부터미널 방면7-3",지하,3,지하,1,15,1000,0035-270,2025-03-10
247,3호선,남부터미널,내부#1,내부,교대 방면3-2,지하,3,지하,2,15,1000,0101-445,2025-03-10
248,3호선,남부터미널,내부#2,내부,양재 방면8-2,지하,3,지하,2,15,1000,0101-446,2025-03-10
249,3호선,남부터미널,외부#1,5번출구,5번 출구 측,지하,2,지상,1,15,1000,0093-684,2025-03-10
250,3호선,양재(3),내부#1,내부,남부터미널 방면3-1,지하,2,지하,1,11,750,0099-778,2025-03-10
251,3호선,양재(3),내부#2,내부,매봉 방면8-4,지하,2,지하,1,11,750,0099-779,2025-03-10
252,3호선,양재(3),외부#2,4번출구,4번 출구 측,지하,1,지상,1,15,1000,0110-414,2025-03-10
253,3호선,양재(3),외부#1,11번출구,11번 출구 측,지하,1,지상,1,15,1000,0099-776,2025-03-10
254,3호선,양재(3),외부#3,1번출구,1번 출구 측,지하,1,지상,1,21,1600,0159-346,2025-03-10
255,3호선,매봉,내부#1,내부,양재 방면5-4,지하,2,지하,1,13,1000,0033-324,2025-03-10
256,3호선,매봉,내부#2,내부,도곡 방면6-1,지하,2,지하,1,13,1000,0033-325,2025-03-10
257,3호선,매봉,외부#1,1번출구,1번 출구 측,지하,1,지상,1,13,900,0035-269,2025-03-10
258,3호선,대치,내부#1,내부,"도곡 방면1-1, 학여울 방면10-4",지하,3,지하,1,13,1000,0033-207,2025-03-10
259,3호선,대치,외부#1,7번출구,7번 출구 측,지하,1,지상,1,15,1000,0099-954,2025-03-10
260,3호선,학여울,내부#1,내부,대치 방면5-4,지하,5,지하,4,15,1000,0033-368,2025-03-10
261,3호선,학여울,내부#2,내부,대청 방면6-1,지하,5,지하,4,15,1000,0033-369,2025-03-10
262,3호선,학여울,외부#1,1번출구,1번 출구 측,지하,4,지상,1,15,1000,0105-142,2025-03-10
263,3호선,대청,내부#1,내부,학여울 방면4-4,지하,3,지하,2,15,1000,0035-268,2025-03-10
264,3호선,대청,내부#2,내부,일원 방면7-1,지하,3,지하,2,15,1000,0035-267,2025-03-10
265,3호선,대청,외부#1,8번출구,8번 출구 측,지하,2,지상,1,15,1000,0035-266,2025-03-10
266,3호선,일원,내부#1,내부,대청 방면6-3,지하,3,지하,2,13,1000,0035-326,2025-03-10
267,3호선,일원,내부#2,내부,수서 방면5-2,지하,3,지하,2,15,1000,0035-327,2025-03-10
268,3호선,일원,외부#2,1번출구,1번 출구 측,지하,2,지상,1,17,1150,0125-974,2025-03-10
269,3호선,일원,외부#3,1번출구,1번 출구 측,지하,2,지상,1,17,1150,0125-975,2025-03-10
270,3호선,수서(3),내부#1,내부,일원 방면8-3,지하,2,지하,1,9,600,0033-206,2025-03-10
271,3호선,수서(3),내부#2,내부,가락시장 방면3-2,지하,2,지하,1,15,1000,0033-205,2025-03-10
272,3호선,수서(3),외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0033-203,2025-03-10
273,3호선,수서(3),외부#2,5번출구,5번 출구 측,지하,1,지상,1,17,1150,0115-093,2025-03-10
274,3호선,가락시장(3),내부#1,내부,수서 방면8-2,지하,4,지하,2,15,1000,0100-025,2025-03-10
275,3호선,가락시장(3),내부#2,내부,경찰병원 방면3-2,지하,4,지하,2,15,1000,0100-026,2025-03-10
276,3호선,가락시장(3),외부#1,7번출구,7번 출구 측,지하,2,지상,1,15,1000,0100-027,2025-03-10
277,3호선,경찰병원,내부#1,내부,가락시장 방면4-2,지하,3,지하,1,15,1000,0099-889,2025-03-10
278,3호선,경찰병원,내부#2,내부,오금 방면 7-3,지하,3,지하,1,15,1000,0099-890,2025-03-10
279,3호선,경찰병원,외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0099-887,2025-03-10
280,3호선,경찰병원,외부#2,3번출구,3번 출구 측,지하,1,지상,1,15,1000,0099-888,2025-03-10
281,3호선,오금(3),내부#1,내부,경찰병원 방면5-1,지하,4,지하,1,15,1000,0099-955,2025-03-10
282,3호선,오금(3),내부#2,내부,오금 방면6-4,지하,4,지하,1,15,1000,0099-956,2025-03-10
283,3호선,오금(3),외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0099-957,2025-03-10
284,4호선,당고개,내부#1,내부,별내별가람 방면6-1,지상,2,지상,3,13,1000,0085-251,2025-03-10
285,4호선,당고개,내부#2,내부,상계 방면5-4,지상,2,지상,3,15,1000,0085-252,2025-03-10
286,4호선,당고개,외부#1,1번출구,1번 출구 측,지상,1,지상,2,15,1000,0085-253,2025-03-10
287,4호선,상계,외부#1,"1,2번출구","대합실(1,2번 출구 사이)",지상,1,지상,2,15,1000,0085-254,2025-03-10
288,4호선,노원(4),내부#1,내부,상계 방면8-4,지상,2,지상,3,15,1000,0085-261,2025-03-10
289,4호선,노원(4),외부#1,2번출구,2번 출구 측,지상,1,지상,2,15,1000,0095-391,2025-03-10
290,4호선,노원(4),외부#2,9번출구,9번 출구 측,지상,1,지상,2,15,1000,0086-473,2025-03-10
291,4호선,창동(4),내부#1,내부,노원 방면2-4,지상,2,지상,3,15,1000,0125-524,2025-03-10
292,4호선,창동(4),내부#2,내부,노원 방면8-2,지상,2,지상,3,15,1000,0125-527,2025-03-10
293,4호선,창동(4),내부#3,내부,쌍문 방면8-4,지상,2,지상,3,15,1000,0125-526,2025-03-10
294,4호선,창동(4),내부#4,내부,쌍문 방면3-2,지상,2,지상,3,15,1000,0125-525,2025-03-10
295,4호선,창동(4),내부#5,내부,쌍문 방면6-1(1호선 소요산방면),지상,1,지상,3,21,1600,0159-084,2025-03-10
296,4호선,창동(4),내부#6,내부,쌍문 방면6-1(1호선 인천방면),지상,1,지상,3,21,1600,0159-085,2025-03-10
297,4호선,창동(4),외부#1,1번출구,1번 출구 측,지상,1,지상,2,13,1000,0028-004,2025-03-10
298,4호선,창동(4),외부#2,2번출구,2번 출구 측,지상,1,지상,2,13,1000,0028-005,2025-03-10
299,4호선,쌍문,내부#1,내부,창동 방면8-2,지하,2,지하,1,13,1000,0085-219,2025-03-10
300,4호선,쌍문,내부#2,내부,수유 방면3-4,지하,2,지하,1,13,1000,0085-220,2025-03-10
301,4호선,쌍문,외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0028-002,2025-03-10
302,4호선,수유,내부#1,내부,쌍문 방면7-1,지하,2,지하,1,13,1000,0085-196,2025-03-10
303,4호선,수유,내부#2,내부,미아 방면4-4,지하,2,지하,1,15,1000,0085-197,2025-03-10
304,4호선,수유,외부#1,"1,2번출구","1,2번 출구 사이",지하,1,지상,1,13,1000,0019-375,2025-03-10
305,4호선,미아,내부#1,내부,수유 방면8-2,지하,2,지하,1,11,900,0085-194,2025-03-10
306,4호선,미아,내부#2,내부,미아사거리 방면3-4,지하,2,지하,1,11,900,0085-195,2025-03-10
307,4호선,미아,외부#1,"1,2번출구","1,2번 출구 사이",지하,1,지상,1,15,1000,0019-374,2025-03-10
308,4호선,미아사거리,내부#1,내부,미아 방면3-1,지하,2,지하,1,13,900,0019-373,2025-03-10
309,4호선,미아사거리,내부#2,내부,길음 방면8-3,지하,2,지하,1,12,900,0019-372,2025-03-10
310,4호선,길음,내부#1,내부,미아사거리 방면6-1,지하,2,지하,1,13,1000,0055-620,2025-03-10
311,4호선,길음,외부#1,5번출구,5번 출구 측,지하,1,지상,1,13,1000,0055-621,2025-03-10
312,4호선,길음,외부#2,4번출구,4번 출구 측,지하,1,지상,1,15,1000,0028-290,2025-03-10
313,4호선,성신여대입구(4),내부#1,내부,길음 방면8-2,지하,2,지하,1,11,750,0055-622,2025-03-10
314,4호선,성신여대입구(4),내부#2,내부,한성대입구 방면3-4,지하,2,지하,1,11,750,0055-623,2025-03-10
315,4호선,성신여대입구(4),외부#1,2번출구,2번 출구 측,지하,1,지상,1,15,1000,0056-491,2025-03-10
316,4호선,성신여대입구(4),외부#2,3번출구,3번 출구 측,지하,1,지상,1,11,750,0028-003,2025-03-10
317,4호선,한성대입구,내부#1,내부,성신여대입구 방면6-1,지하,2,지하,1,15,1000,0055-618,2025-03-10
318,4호선,한성대입구,외부#1,"3,4번출구","3,4번 출구 사이",지하,1,지상,1,15,1000,0055-619,2025-03-10
319,4호선,한성대입구,외부#2,5번출구,5번 출구 측,지하,1,지상,1,15,1000,0095-380,2025-03-10
320,4호선,혜화,내부#1,내부,한성대입구 방면7-4,지하,2,지하,1,11,750,0000-911,2025-03-10
321,4호선,혜화,내부#2,내부,동대문(4) 방면3-4,지하,2,지하,1,11,750,0000-910,2025-03-10
322,4호선,혜화,외부#1,2번출구,2번 출구 측,지하,1,지상,1,11,750,0000-908,2025-03-10
323,4호선,혜화,외부#2,3번출구,3번 출구 측,지하,1,지상,1,11,1000,0000-909,2025-03-10
324,4호선,동대문(4),내부#1,내부,혜화 방면6-3,지하,4,지하,1,15,1000,0000-523,2025-03-10
325,4호선,동대문(4),외부#1,9번출구,9번 출구 측,지하,1,지상,1,15,1000,0000-524,2025-03-10
326,4호선,동대문역사문화공원(4),내부#1,내부,동대문(4) 방면4-4,지하,3,지하,1,13,900,0039-975,2025-03-10
327,4호선,동대문역사문화공원(4),외부#1,4번출구,4번 출구 측,지하,1,지상,1,13,1000,0158-131,2025-03-10
328,4호선,충무로(4),내부#1,내부,동대문역사문화공원 방면8-1,지하,3,지하,1,15,1000,0003-715,2025-03-10
329,4호선,충무로(4),내부#2,내부,명동 방면3-3,지하,3,지하,1,13,1000,0003-714,2025-03-10
330,4호선,충무로(4),내부#3,내부,대합실(B3),지하,4,지하,2,13,1000,0152-338,2025-03-10
331,4호선,충무로(4),외부#1,7번출구,7번 출구 측,지하,1,지상,1,8,600,0040-481,2025-03-10
332,4호선,명동,외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0111-744,2025-03-10
333,4호선,명동,내부#1,내부,대합실,지하,4,지하,1,10,750,0152-514,2025-03-10
334,4호선,회현,내부#1,내부,명동 방면10-1,지하,4,지하,1,15,1000,0003-716,2025-03-10
335,4호선,회현,외부#1,1번출구,"3,4,5번 출구 중심",지하,1,지상,1,15,1000,0120-838,2025-03-10
336,4호선,서울역(4),내부#1,내부,회현 방면9-1,지하,2,지하,1,13,1000,0003-773,2025-03-10
337,4호선,서울역(4),외부#1,12번출구,12번 출구 측,지하,1,지상,1,13,900,0040-482,2025-03-10
338,4호선,숙대입구,내부#1,내부,서울역(4) 방면8-1,지하,2,지하,1,15,1000,0003-771,2025-03-10
339,4호선,숙대입구,내부#2,내부,삼각지 방면3-3,지하,2,지하,1,15,1000,0003-772,2025-03-10
340,4호선,숙대입구,외부#1,10번출구,10번 출구 측,지하,1,지상,1,15,1000,0102-480,2025-03-10
341,4호선,삼각지(4),내부#1,내부,숙대입구 방면4-3,지하,2,지하,1,15,1000,0051-245,2025-03-10
342,4호선,삼각지(4),내부#2,내부,신용산 방면7-2,지하,2,지하,1,15,1000,0051-246,2025-03-10
343,4호선,삼각지(4),외부#1,"1,2번출구","1,2번 출구 측",지하,1,지상,1,15,1000,0073-386,2025-03-10
344,4호선,삼각지(4),외부#2,"5,6번출구","5,6번 출구 측",지하,1,지상,1,15,1000,0073-707,2025-03-10
345,4호선,삼각지(4),외부#3,3번출구,3번 출구 측,지하,1,지상,1,15,1000,0136-819,2025-03-10
346,4호선,신용산,내부#1,내부,삼각지 방면8-2,지하,2,지하,1,15,1000,0102-379,2025-03-10
347,4호선,신용산,내부#2,내부,이촌 방면3-2,지하,2,지하,1,15,1000,0102-380,2025-03-10
348,4호선,신용산,외부#1,1번출구,1번 출구 측,지하,2,지상,1,20,1350,0127-849,2025-03-10
349,4호선,신용산,외부#2,4번출구,4번 출구 측,지하,1,지상,1,15,1000,0120-390,2025-03-10
350,4호선,이촌(4),내부#1,내부,신용산 방면8-1,지하,2,지하,1,15,1000,0003-769,2025-03-10
351,4호선,이촌(4),내부#2,내부,동작 방면3-3,지하,2,지하,1,15,1000,0003-770,2025-03-10
352,4호선,이촌(4),외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0102-381,2025-03-10
353,4호선,이촌(4),외부#2,2번출구,2번 출구 측,지하,1,지상,1,17,1150,0084-010,2025-03-10
354,4호선,이촌(4),내부#3,1번출구,환승통로,지하,1,지상,1,21,1600,0152-758,2025-03-10
355,4호선,동작(4),내부#1,내부,이촌 방면7-4,지상,2,지상,3,10,750,0097-625,2025-03-10
356,4호선,동작(4),내부#2,내부,총신대입구 방면4-4,지상,1,지상,3,11,1000,0031-516,2025-03-10
357,4호선,총신대입구(4),내부#1,내부,동작 방면7-3,지하,2,지하,1,15,1000,0031-512,2025-03-10
358,4호선,총신대입구(4),내부#2,내부,사당(4) 방면8-3,지하,2,지하,1,15,1000,0031-513,2025-03-10
359,4호선,총신대입구(4),외부#1,1번출구,1번 출구 측,지하,1,지상,1,15,1000,0110-215,2025-03-10
360,4호선,총신대입구(4),외부#2,14번출구,14번 출구 측,지하,1,지상,1,15,1000,0031-515,2025-03-10
361,4호선,사당(4),내부#1,내부,총신대입구 방면9-2,지하,3,지하,1,13,900,0097-112,2025-03-10
362,4호선,사당(4),외부#1,"9,10번출구","9,10번 출구 사이",지하,1,지상,1,15,1000,0031-517,2025-03-10
363,4호선,남태령,내부#1,내부,사당 방면3-3,지하,3,지하,2,11,750,0099-926,2025-03-10
364,4호선,남태령,내부#2,1번출구,1번 출구 측,지하,2,지하,1,13,1000,0099-927,2025-03-10
365,4호선,남태령,외부#1,2번출구,2번 출구 측,지하,1,지상,1,15,1000,0099-928,2025-03-10
366,5호선,방화,1,내부,방화 방면4-4,지하,2,지하,1,11,750,0097-206,2025-03-10
367,5호선,방화,2,내부,개화산 방면4-4,지하,2,지하,1,11,750,0097-207,2025-03-10
368,5호선,방화,3,2번출구,2번 출구 측,지하,1,지상,1,15,1000,0031-396,2025-03-10
